bldg_id,in.building_america_climate_zone,in.state,in.heating_fuel,in.interior_lighting_generation,in.service_water_heating_fuel,in.comstock_building_type_group,in.vintage,in.sqft
48709,Hot-Dry,CA,Electricity,gen4_led,Electricity,Office,2,350000.0
58658,Cold,CO,NaturalGas,gen2_t8_halogen,Electricity,Office,0,150000.0
105885,Hot-Humid,HI,NaturalGas,gen1_t12_incandescent,NaturalGas,Lodging,3,750000.0
119634,Cold,IL,NaturalGas,gen2_t8_halogen,NaturalGas,Lodging,5,750000.0
205046,Mixed-Humid,NY,DistrictHeating,gen2_t8_halogen,DistrictHeating,Office,0,350000.0
206696,Mixed-Humid,NY,NaturalGas,gen2_t8_halogen,NaturalGas,Office,1,750000.0
209836,Mixed-Humid,NY,Electricity,gen2_t8_halogen,NaturalGas,Lodging,1,350000.0
222810,Mixed-Humid,NY,FuelOil,gen4_led,Electricity,Office,0,350000.0
263959,Cold,PA,Electricity,gen2_t8_halogen,Electricity,Office,0,150000.0
272942,Cold,PA,DistrictHeating,gen2_t8_halogen,DistrictHeating,Office,0,350000.0
297426,Hot-Humid,TX,Electricity,gen1_t12_incandescent,Electricity,Office,4,150000.0
305819,Hot-Humid,TX,Electricity,gen2_t8_halogen,Electricity,Office,2,150000.0
305934,Hot-Humid,TX,Electricity,gen2_t8_halogen,Electricity,Office,4,350000.0
317044,Hot-Humid,TX,Electricity,gen4_led,Electricity,Office,3,350000.0
19,Hot-Humid,AL,Electricity,gen4_led,Electricity,Mercantile,3,17500.0
28,Mixed-Humid,AL,NaturalGas,gen1_t12_incandescent,NaturalGas,Warehouse and Storage,4,17500.0
32,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,6,37500.0
37,Hot-Humid,AL,NaturalGas,gen1_t12_incandescent,Electricity,Warehouse and Storage,4,75000.0
45,Hot-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Office,0,1000.0
46,Mixed-Humid,AL,NaturalGas,gen3_t5_cfl,NaturalGas,Mercantile,2,37500.0
49,Mixed-Humid,AL,Electricity,gen2_t8_halogen,NaturalGas,Mercantile,3,17500.0
64,Mixed-Humid,AL,Electricity,gen2_t8_halogen,NaturalGas,Mercantile,0,37500.0
89,Hot-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,3,37500.0
97,Mixed-Humid,AL,NaturalGas,gen1_t12_incandescent,Electricity,Warehouse and Storage,0,3000.0
103,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,4,75000.0
112,Hot-Humid,AL,NaturalGas,gen1_t12_incandescent,NaturalGas,Office,3,7500.0
117,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,4,17500.0
