bldg_id,in.building_america_climate_zone,in.state,in.heating_fuel,in.interior_lighting_generation,in.service_water_heating_fuel,in.comstock_building_type_group,in.vintage,in.sqft
105885,Hot-Humid,HI,NaturalGas,gen1_t12_incandescent,NaturalGas,Lodging,3,750000.0
305819,Hot-Humid,TX,Electricity,gen2_t8_halogen,Electricity,Office,2,150000.0
305934,Hot-Humid,TX,Electricity,gen2_t8_halogen,Electricity,Office,4,350000.0
317044,Hot-Humid,TX,Electricity,gen4_led,Electricity,Office,3,350000.0
32,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,6,37500.0
64,Mixed-Humid,AL,Electricity,gen2_t8_halogen,NaturalGas,Mercantile,0,37500.0
103,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,4,75000.0
112,Hot-Humid,AL,NaturalGas,gen1_t12_incandescent,NaturalGas,Office,3,7500.0
277,Hot-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,0,37500.0
355,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,7,17500.0
363,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,5,37500.0
379,Mixed-Humid,AL,Electricity,gen3_t5_cfl,NaturalGas,Mercantile,1,17500.0
417,Hot-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,0,17500.0
530,Hot-Humid,AL,NaturalGas,gen1_t12_incandescent,NaturalGas,Mercantile,2,17500.0
575,Hot-Humid,AL,Electricity,gen3_t5_cfl,Electricity,Office,3,3000.0
611,Hot-Humid,AL,NaturalGas,gen4_led,NaturalGas,Office,5,7500.0
633,Hot-Humid,AL,NaturalGas,gen4_led,Electricity,Warehouse and Storage,6,37500.0
864,Mixed-Humid,AL,NaturalGas,gen4_led,Electricity,Warehouse and Storage,4,37500.0
1025,Mixed-Humid,AL,Electricity,gen4_led,NaturalGas,Education,4,75000.0
1215,Mixed-Humid,AL,NaturalGas,gen4_led,NaturalGas,Office,3,3000.0
1269,Hot-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Office,0,17500.0
1297,Hot-Humid,AL,Electricity,gen4_led,NaturalGas,Mercantile,5,37500.0
1301,Hot-Humid,AL,NaturalGas,gen2_t8_halogen,Electricity,Mercantile,5,37500.0
1305,Hot-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Office,4,7500.0
1371,Mixed-Humid,AL,NaturalGas,gen4_led,NaturalGas,Mercantile,4,37500.0
1390,Mixed-Humid,AL,Electricity,gen1_t12_incandescent,NaturalGas,Mercantile,2,37500.0
1395,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,NaturalGas,Office,1,7500.0
1400,Hot-Humid,AL,Electricity,gen4_led,Electricity,Mercantile,4,17500.0
1458,Hot-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Food Service,6,3000.0
1466,Mixed-Humid,AL,NaturalGas,gen1_t12_incandescent,NaturalGas,Mercantile,3,7500.0
1601,Hot-Humid,AL,Electricity,gen2_t8_halogen,NaturalGas,Mercantile,2,3000.0
1618,Hot-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,7,7500.0
1629,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Office,0,3000.0
1647,Mixed-Humid,AL,NaturalGas,gen4_led,Electricity,Food Service,3,3000.0
1668,Hot-Humid,AL,NaturalGas,gen2_t8_halogen,Electricity,Mercantile,2,37500.0
